,CASE_STATUS,FULL_TIME,PREVAILING_WAGE,lat,lon
0,WITHDRAWN,1.0,58885.0,32.814017699999994,-96.9488945
1,CERTIFIED-WITHDRAWN,1.0,91957.0,40.7127837,-74.00594129999998
2,CERTIFIED,1.0,50336.0,32.948333500000004,-96.7298519
3,CERTIFIED-WITHDRAWN,1.0,71074.0,42.3459271,-71.55228740000003
4,CERTIFIED,1.0,84302.0,47.6739881,-122.121512
5,WITHDRAWN,1.0,87797.0,44.977753,-93.2650108
6,WITHDRAWN,1.0,187199.0,43.5445959,-96.7311034
7,WITHDRAWN,1.0,33130.0,39.11405300000001,-94.6274636
8,DENIED,1.0,117998.0,43.6155825,-84.24721159999999
9,DENIED,1.0,73674.0,38.7699175,-90.4667501
10,WITHDRAWN,0.0,62442.0,28.7588833,-81.3178446
11,CERTIFIED,1.0,72446.0,40.7127837,-74.00594129999998
12,DENIED,1.0,37128.0,40.7127837,-74.00594129999998
13,CERTIFIED,0.0,60466.0,33.9166805,-117.9000604
14,CERTIFIED-WITHDRAWN,1.0,88275.0,42.2695216,-71.6161294
15,DENIED,1.0,42786.0,33.4483771,-112.0740373
16,WITHDRAWN,1.0,75338.0,33.7489954,-84.3879824
17,WITHDRAWN,1.0,57866.0,35.2270869,-80.8431267
18,DENIED,1.0,65000.0,33.6839473,-117.7946942
19,DENIED,1.0,70304.0,40.5187154,-74.4120953
20,DENIED,1.0,70970.0,30.267153000000004,-97.7430608
21,WITHDRAWN,0.0,58802.0,32.7554883,-97.3307658
22,DENIED,1.0,64480.0,33.494170399999994,-111.9260519
23,CERTIFIED-WITHDRAWN,1.0,54579.0,39.9611755,-82.9987942
24,DENIED,0.0,58448.0,37.7749295,-122.4194155
25,CERTIFIED-WITHDRAWN,1.0,52853.0,39.0997265,-94.5785667
26,DENIED,1.0,51584.0,30.4582829,-91.1403196
27,WITHDRAWN,1.0,69659.0,40.7607793,-111.89104740000002
28,WITHDRAWN,1.0,41560.0,26.1906306,-97.6961026
29,CERTIFIED-WITHDRAWN,1.0,98758.0,42.98543950000001,-73.78682359999998
30,CERTIFIED,1.0,55369.6,42.4733688,-83.2218731
31,CERTIFIED,1.0,68078.0,39.613321,-105.0166498
32,CERTIFIED,0.0,74880.0,40.6781784,-73.94415790000002
33,WITHDRAWN,0.0,63274.0,40.39680120000001,-74.0915982
34,DENIED,1.0,58490.0,30.267153000000004,-97.7430608
35,CERTIFIED-WITHDRAWN,0.0,61443.2,32.2217429,-110.926479
36,DENIED,1.0,78270.0,29.7604267,-95.3698028
37,CERTIFIED,1.0,66019.0,40.7127837,-74.00594129999998
38,CERTIFIED,1.0,50752.0,42.3222599,-83.1763145
39,CERTIFIED-WITHDRAWN,1.0,73632.0,33.7489954,-84.3879824
40,CERTIFIED-WITHDRAWN,1.0,65811.0,40.1416782,-75.1926937
41,CERTIFIED-WITHDRAWN,1.0,61963.0,37.3229978,-122.0321823
42,CERTIFIED,1.0,74776.0,35.2270869,-80.8431267
43,CERTIFIED,0.0,59842.0,34.1705609,-118.8375937
44,DENIED,1.0,65104.0,33.7205771,-116.2155619
45,CERTIFIED-WITHDRAWN,1.0,66581.0,37.6304904,-122.4110835
46,DENIED,1.0,32018.0,40.3768954,-111.7957645
47,DENIED,1.0,67517.0,25.9023168,-80.25032709999998
48,WITHDRAWN,1.0,89107.0,32.715738,-117.1610838
49,CERTIFIED,0.0,34520.0,35.2270869,-80.8431267
50,CERTIFIED-WITHDRAWN,1.0,43990.0,32.975641499999995,-96.8899636
51,CERTIFIED,1.0,38540.0,39.2903848,-76.6121893
52,WITHDRAWN,1.0,68224.0,41.6819935,-85.9766671
53,CERTIFIED,1.0,48027.0,41.8239891,-71.4128343
54,CERTIFIED-WITHDRAWN,1.0,42494.0,40.5187154,-74.4120953
55,CERTIFIED-WITHDRAWN,1.0,51367.0,39.9525839,-75.1652215
56,WITHDRAWN,1.0,66165.0,44.9537029,-93.0899578
57,CERTIFIED-WITHDRAWN,0.0,51979.0,42.515868,-83.2732642
58,WITHDRAWN,0.0,64864.0,41.9778795,-91.6656232
59,WITHDRAWN,1.0,53082.0,34.165357,-118.6089752
60,CERTIFIED,1.0,82285.0,37.654656,-122.4077498
61,DENIED,1.0,40810.0,41.55699600000001,-83.627157
62,DENIED,1.0,61548.0,42.3600825,-71.0588801
63,DENIED,1.0,47570.0,36.1699412,-115.13982959999998
64,DENIED,1.0,60590.0,34.1477849,-118.1445155
65,DENIED,1.0,57387.0,39.2903848,-76.6121893
66,WITHDRAWN,1.0,64730.0,29.7604267,-95.3698028
67,WITHDRAWN,1.0,83886.0,40.3572976,-74.66722259999997
68,WITHDRAWN,1.0,77272.0,40.8932469,-74.0116536
69,WITHDRAWN,1.0,87131.2,42.37648520000001,-71.2356113
70,DENIED,1.0,33550.0,40.7127837,-74.00594129999998
71,CERTIFIED-WITHDRAWN,1.0,62525.0,41.8781136,-87.62979820000002
72,CERTIFIED-WITHDRAWN,1.0,58386.0,41.0881409,-75.3266416
73,DENIED,1.0,25522.0,25.9420377,-80.2456045
74,CERTIFIED,1.0,104458.0,40.7127837,-74.00594129999998
75,DENIED,1.0,42869.0,42.3600825,-71.0588801
76,CERTIFIED,1.0,75670.0,37.4852152,-122.2363548
77,WITHDRAWN,0.0,43070.0,30.226594899999995,-93.2173758
78,CERTIFIED-WITHDRAWN,1.0,79498.0,35.7795897,-78.6381787
79,DENIED,1.0,47986.0,27.950575,-82.4571776
80,DENIED,1.0,42120.0,32.832811199999995,-117.2712717
81,WITHDRAWN,1.0,77186.0,35.2270869,-80.8431267
82,CERTIFIED,1.0,73133.0,42.20790170000001,-71.0040013
83,DENIED,0.0,66394.0,42.48059,-83.47549129999999
84,CERTIFIED,1.0,96866.0,37.7749295,-122.4194155
85,WITHDRAWN,1.0,46155.0,32.832811199999995,-117.2712717
86,CERTIFIED-WITHDRAWN,1.0,41517.0,41.8781136,-87.62979820000002
